infinitive_english,mood_english,tense_english,verb_english,form_1s_english,form_2s_english,form_3s_english,form_1p_english,form_2p_english,form_3p_english,infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,gerund_english,pastparticiple,pastparticiple_english
"to get tired, get worn out, get weary",Indicative,Preterite,I got tired,tired,tired,tired,tired,tired,tired,cansarse,Indicativo,Pretérito,me cansé,te cansaste,se cansó,nos cansamos,os cansasteis,se cansaron,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Conditional,I would get tired,would get tired,would get tired,would get tired,would get tired,would get tired,would get tired,cansarse,Indicativo,Condicional,me cansaría,te cansarías,se cansaría,nos cansaríamos,os cansaríais,se cansarían,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Present Perfect,I have gotten tired,have tired,have tired,has tired,have tired,have tired,have tired,cansarse,Indicativo,Presente perfecto,me he cansado,te has cansado,se ha cansado,nos hemos cansado,os habéis cansado,se han cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Future Perfect,I will have gotten tired,will have tired,will have tired,will have tired,will have tired,will have tired,will have tired,cansarse,Indicativo,Futuro perfecto,me habré cansado,te habrás cansado,se habrá cansado,nos habremos cansado,os habréis cansado,se habrán cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Past Perfect,I had gotten tired,had tired,had tired,had tired,had tired,had tired,had tired,cansarse,Indicativo,Pluscuamperfecto,me había cansado,te habías cansado,se había cansado,nos habíamos cansado,os habíais cansado,se habían cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Preterite (Archaic),I had gotten tired,,,,,,,cansarse,Indicativo,Pretérito anterior,me hube cansado,te hubiste cansado,se hubo cansado,nos hubimos cansado,os hubisteis cansado,se hubieron cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Indicative,Conditional Perfect,I would have gotten tired,would have tired,would have tired,would have tired,would have tired,would have tired,would have tired,cansarse,Indicativo,Condicional perfecto,me habría cansado,te habrías cansado,se habría cansado,nos habríamos cansado,os habríais cansado,se habrían cansado,cansándose,getting tired,cansado,tired
to eat,Indicative,Conditional,I would eat,would eat,would eat,would eat,would eat,would eat,would eat,comer,Indicativo,Condicional,comería,comerías,comería,comeríamos,comeríais,comerían,comiendo,eating,comido,eaten
"to get tired, get worn out, get weary",Subjunctive,Present,"I get tired, am getting tired",get tired,get tired,get tireds,get tired,get tired,get tired,cansarse,Subjuntivo,Presente,me canse,te canses,se canse,nos cansemos,os canséis,se cansen,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Subjunctive,Imperfect,"I got tired, was getting tired",was getting tired,were getting tired,was getting tired,were getting tired,were getting tired,were getting tired,cansarse,Subjuntivo,Imperfecto,me cansara,te cansaras,se cansara,nos cansáramos,os cansarais,se cansaran,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Subjunctive,Future,I will get tired,will get tired,will get tired,will get tired,will get tired,will get tired,will get tired,cansarse,Subjuntivo,Futuro,me cansare,te cansares,se cansare,nos cansáremos,os cansareis,se cansaren,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Subjunctive,Present Perfect,"I have gotten tired, got tired",have tired,have tired,has tired,have tired,have tired,have tired,cansarse,Subjuntivo,Presente perfecto,me haya cansado,te hayas cansado,se haya cansado,nos hayamos cansado,os hayáis cansado,se hayan cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Subjunctive,Future Perfect,I will have gotten tired,will have tired,will have tired,will have tired,will have tired,will have tired,will have tired,cansarse,Subjuntivo,Futuro perfecto,me hubiere cansado,te hubieres cansado,se hubiere cansado,nos hubiéremos cansado,os hubiereis cansado,se hubieren cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Subjunctive,Past Perfect,I had gotten tired,had tired,had tired,had tired,had tired,had tired,had tired,cansarse,Subjuntivo,Pluscuamperfecto,me hubiera cansado,te hubieras cansado,se hubiera cansado,nos hubiéramos cansado,os hubierais cansado,se hubieran cansado,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Imperative Affirmative,Present,Get tired! Don't get tired!,get tired,get tired,get tireds,get tired,get tired,get tired,cansarse,Imperativo Afirmativo,Presente,,cánsate,cansaos,,cánsese,cánsense,cansándose,getting tired,cansado,tired
"to get tired, get worn out, get weary",Imperative Negative,Present,Get tired! Don't get tired!,get tired,get tired,get tireds,get tired,get tired,get tired,cansarse,Imperativo Negativo,Presente,,no te canses,no os canséis,,no se canse,no se cansen,cansándose,getting tired,cansado,tired
to characterize,Indicative,Present,"I characterize, am characterizing",characterize,characterize,characterizes,characterize,characterize,characterize,caracterizar,Indicativo,Presente,caracterizo,caracterizas,caracteriza,caracterizamos,caracterizáis,caracterizan,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Future,I will characterize,will characterize,will characterize,will characterize,will characterize,will characterize,will characterize,caracterizar,Indicativo,Futuro,caracterizaré,caracterizarás,caracterizará,caracterizaremos,caracterizaréis,caracterizarán,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Imperfect,"I was characterizing, used to characterize, characterized",was characterizing,were characterizing,was characterizing,were characterizing,were characterizing,were characterizing,caracterizar,Indicativo,Imperfecto,caracterizaba,caracterizabas,caracterizaba,caracterizábamos,caracterizabais,caracterizaban,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Preterite,I characterized,characterized,characterized,characterized,characterized,characterized,characterized,caracterizar,Indicativo,Pretérito,caractericé,caracterizaste,caracterizó,caracterizamos,caracterizasteis,caracterizaron,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Conditional,I would characterize,would characterize,would characterize,would characterize,would characterize,would characterize,would characterize,caracterizar,Indicativo,Condicional,caracterizaría,caracterizarías,caracterizaría,caracterizaríamos,caracterizaríais,caracterizarían,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Present Perfect,I have characterized,have characterized,have characterized,has characterized,have characterized,have characterized,have characterized,caracterizar,Indicativo,Presente perfecto,he caracterizado,has caracterizado,ha caracterizado,hemos caracterizado,habéis caracterizado,han caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Future Perfect,I will have characterized,will have characterized,will have characterized,will have characterized,will have characterized,will have characterized,will have characterized,caracterizar,Indicativo,Futuro perfecto,habré caracterizado,habrás caracterizado,habrá caracterizado,habremos caracterizado,habréis caracterizado,habrán caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Past Perfect,I had characterized,had characterized,had characterized,had characterized,had characterized,had characterized,had characterized,caracterizar,Indicativo,Pluscuamperfecto,había caracterizado,habías caracterizado,había caracterizado,habíamos caracterizado,habíais caracterizado,habían caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Preterite (Archaic),I had characterized,,,,,,,caracterizar,Indicativo,Pretérito anterior,hube caracterizado,hubiste caracterizado,hubo caracterizado,hubimos caracterizado,hubisteis caracterizado,hubieron caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Indicative,Conditional Perfect,I would have characterized,would have characterized,would have characterized,would have characterized,would have characterized,would have characterized,would have characterized,caracterizar,Indicativo,Condicional perfecto,habría caracterizado,habrías caracterizado,habría caracterizado,habríamos caracterizado,habríais caracterizado,habrían caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Subjunctive,Present,"I characterize, am characterizing",characterize,characterize,characterizes,characterize,characterize,characterize,caracterizar,Subjuntivo,Presente,caracterice,caracterices,caracterice,caractericemos,caractericéis,caractericen,caracterizando,characterizing,caracterizado,characterized
to characterize,Subjunctive,Imperfect,"I characterized, was characterizing",was characterizing,were characterizing,was characterizing,were characterizing,were characterizing,were characterizing,caracterizar,Subjuntivo,Imperfecto,caracterizara,caracterizaras,caracterizara,caracterizáramos,caracterizarais,caracterizaran,caracterizando,characterizing,caracterizado,characterized
to characterize,Subjunctive,Future,I will characterize,will characterize,will characterize,will characterize,will characterize,will characterize,will characterize,caracterizar,Subjuntivo,Futuro,caracterizare,caracterizares,caracterizare,caracterizáremos,caracterizareis,caracterizaren,caracterizando,characterizing,caracterizado,characterized
to characterize,Subjunctive,Present Perfect,"I have characterized, characterized",have characterized,have characterized,has characterized,have characterized,have characterized,have characterized,caracterizar,Subjuntivo,Presente perfecto,haya caracterizado,hayas caracterizado,haya caracterizado,hayamos caracterizado,hayáis caracterizado,hayan caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Subjunctive,Future Perfect,I will have characterized,will have characterized,will have characterized,will have characterized,will have characterized,will have characterized,will have characterized,caracterizar,Subjuntivo,Futuro perfecto,hubiere caracterizado,hubieres caracterizado,hubiere caracterizado,hubiéremos caracterizado,hubiereis caracterizado,hubieren caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Subjunctive,Past Perfect,I had characterized,had characterized,had characterized,had characterized,had characterized,had characterized,had characterized,caracterizar,Subjuntivo,Pluscuamperfecto,hubiera caracterizado,hubieras caracterizado,hubiera caracterizado,hubiéramos caracterizado,hubierais caracterizado,hubieran caracterizado,caracterizando,characterizing,caracterizado,characterized
to characterize,Imperative Affirmative,Present,Characterize! Don't characterize!,characterize,characterize,characterizes,characterize,characterize,characterize,caracterizar,Imperativo Afirmativo,Presente,,caracteriza,caracterizad,,caracterice,caractericen,caracterizando,characterizing,caracterizado,characterized
to characterize,Imperative Negative,Present,Characterize! Don't characterize!,characterize,characterize,characterizes,characterize,characterize,characterize,caracterizar,Imperativo Negativo,Presente,,no caracterices,no caractericéis,,no caracterice,no caractericen,caracterizando,characterizing,caracterizado,characterized
"to load, load up; to charge",Indicative,Present,"I load, am loading",load,load,loads,load,load,load,cargar,Indicativo,Presente,cargo,cargas,carga,cargamos,cargáis,cargan,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Future,I will load,will load,will load,will load,will load,will load,will load,cargar,Indicativo,Futuro,cargaré,cargarás,cargará,cargaremos,cargaréis,cargarán,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Imperfect,"I was loading, used to load, loaded",was loading,were loading,was loading,were loading,were loading,were loading,cargar,Indicativo,Imperfecto,cargaba,cargabas,cargaba,cargábamos,cargabais,cargaban,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Preterite,I loaded,loaded,loaded,loaded,loaded,loaded,loaded,cargar,Indicativo,Pretérito,cargué,cargaste,cargó,cargamos,cargasteis,cargaron,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Conditional,I would load,would load,would load,would load,would load,would load,would load,cargar,Indicativo,Condicional,cargaría,cargarías,cargaría,cargaríamos,cargaríais,cargarían,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Present Perfect,I have loaded,have loaded,have loaded,has loaded,have loaded,have loaded,have loaded,cargar,Indicativo,Presente perfecto,he cargado,has cargado,ha cargado,hemos cargado,habéis cargado,han cargado,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Future Perfect,I will have loaded,will have loaded,will have loaded,will have loaded,will have loaded,will have loaded,will have loaded,cargar,Indicativo,Futuro perfecto,habré cargado,habrás cargado,habrá cargado,habremos cargado,habréis cargado,habrán cargado,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Past Perfect,I had loaded,had loaded,had loaded,had loaded,had loaded,had loaded,had loaded,cargar,Indicativo,Pluscuamperfecto,había cargado,habías cargado,había cargado,habíamos cargado,habíais cargado,habían cargado,cargando,loading,cargado,loaded
"to load, load up; to charge",Indicative,Preterite (Archaic),I had loaded,,,,,,,cargar,Indicativo,Pretérito anterior,hube cargado,hubiste cargado,hubo cargado,hubimos cargado,hubisteis cargado,hubieron cargado,cargando,loading,cargado,loaded
